,BVP_1
1012,17.74
1013,13.71
1014,9.3
1015,4.28
1016,-1.33
1017,-7.23
1018,-12.95
1019,-18.13
1020,-22.58
1021,-26.34
1022,-29.64
1023,-32.7
1024,-35.74
1025,-38.94
1026,-42.61
1027,-47.18
1028,-53.06
1029,-60.28
1030,-68.08
1031,-74.83
1032,-78.24
1033,-76.19
1034,-67.49
1035,-52.56
1036,-33.3
1037,-12.55
1038,6.93
1039,23.27
1040,35.79
1041,44.71
1042,50.57
1043,53.76
1044,54.35
1045,52.43
1046,48.43
1047,43.35
1048,38.59
1049,35.43
1050,34.54
1051,35.73
1052,38.02
1053,40.12
1054,40.93
1055,39.97
1056,37.39
1057,33.79
1058,29.85
1059,25.98
1060,22.19
1061,18.2
1062,13.67
1063,8.42
1064,2.6
1065,-3.4
1066,-9.08
1067,-14.09
1068,-18.35
1069,-22.04
1070,-25.48
1071,-28.96
1072,-32.63
1073,-36.59
1074,-41.01
1075,-46.14
1076,-52.24
1077,-59.18
1078,-66.09
1079,-71.28
1080,-72.61
1081,-68.22
1082,-57.4
1083,-40.97
1084,-21.22
1085,-1.09
1086,16.82
1087,31.01
1088,41.21
1089,47.93
1090,51.88
1091,53.42
1092,52.63
1093,49.6
1094,44.88
1095,39.61
1096,35.19
1097,32.73
1098,32.57
1099,34.08
1100,35.98
1101,36.94
1102,36.14
1103,33.51
1104,29.6
1105,25.19
1106,20.87
1107,16.83
1108,12.92
1109,8.8
1110,4.21
1111,-0.92
1112,-6.41
1113,-11.99
1114,-17.34
1115,-22.26
1116,-26.64
1117,-30.52
1118,-34
1119,-37.22
1120,-40.38
1121,-43.71
1122,-47.57
1123,-52.33
1124,-58.29
1125,-65.31
1126,-72.58
1127,-78.5
1128,-81.06
1129,-78.39
1130,-69.63
1131,-55.35
1132,-37.52
1133,-18.85
1134,-1.97
1135,11.46
1136,20.87
1137,26.58
1138,29.27
1139,29.46
1140,27.5
1141,23.74
1142,18.88
1143,14.08
1144,10.74
1145,9.99
1146,12.25
1147,17.01
1148,23.05
1149,28.87
1150,33.31
1151,35.91
1152,36.89
1153,36.9
1154,36.55
1155,36.08
1156,35.21
1157,33.4
1158,30.17
1159,25.44
1160,19.61
1161,13.44
1162,7.66
1163,2.69
1164,-1.54
